timestamp: 690 | hand: left | pinch strength: 0.0164397 | finger: index | distance: 66.84567949456122
timestamp: 700 | hand: left | pinch strength: 0.0816113 | finger: index | distance: 65.11310552607976
timestamp: 709 | hand: left | pinch strength: 0.141006 | finger: index | distance: 63.49788600612149
timestamp: 718 | hand: left | pinch strength: 0.207111 | finger: index | distance: 61.67525309533477
timestamp: 726 | hand: left | pinch strength: 0.272833 | finger: index | distance: 59.8549408918136
timestamp: 736 | hand: left | pinch strength: 0.33346 | finger: index | distance: 58.14963502215728
timestamp: 744 | hand: left | pinch strength: 0.398661 | finger: index | distance: 56.31233596924301
timestamp: 754 | hand: left | pinch strength: 0.4644 | finger: index | distance: 54.43295912847657
timestamp: 763 | hand: left | pinch strength: 0.524782 | finger: index | distance: 52.675328558942084
timestamp: 772 | hand: left | pinch strength: 0.580583 | finger: index | distance: 50.95923448012145
timestamp: 781 | hand: left | pinch strength: 0.630026 | finger: index | distance: 49.40508507997937
timestamp: 789 | hand: left | pinch strength: 0.67915 | finger: index | distance: 47.809759447418266
timestamp: 798 | hand: left | pinch strength: 0.722265 | finger: index | distance: 46.37559394908058
timestamp: 808 | hand: left | pinch strength: 0.762124 | finger: index | distance: 45.03785970380919
timestamp: 817 | hand: left | pinch strength: 0.800886 | finger: index | distance: 43.69193268018708
timestamp: 827 | hand: left | pinch strength: 0.835031 | finger: index | distance: 42.47149283802019
timestamp: 836 | hand: left | pinch strength: 0.865237 | finger: index | distance: 41.37644893390441
timestamp: 844 | hand: left | pinch strength: 0.895328 | finger: index | distance: 40.27067362237686
timestamp: 854 | hand: left | pinch strength: 0.923962 | finger: index | distance: 39.21893973745338
timestamp: 862 | hand: left | pinch strength: 0.95326 | finger: index | distance: 38.18396451195188
timestamp: 871 | hand: left | pinch strength: 0.979615 | finger: index | distance: 37.16351745785106
timestamp: 880 | hand: left | pinch strength: 1 | finger: index | distance: 36.16317093024338
timestamp: 889 | hand: left | pinch strength: 1 | finger: index | distance: 35.23474553860152
timestamp: 898 | hand: left | pinch strength: 1 | finger: index | distance: 34.46791617098428
timestamp: 907 | hand: left | pinch strength: 1 | finger: index | distance: 33.74541722930685
timestamp: 916 | hand: left | pinch strength: 1 | finger: index | distance: 33.12471760906046
timestamp: 925 | hand: left | pinch strength: 1 | finger: index | distance: 32.42539522330607
timestamp: 934 | hand: left | pinch strength: 1 | finger: index | distance: 31.581797022816797
timestamp: 943 | hand: left | pinch strength: 1 | finger: index | distance: 30.795922286887272
timestamp: 952 | hand: left | pinch strength: 1 | finger: index | distance: 30.070232893718998
timestamp: 961 | hand: left | pinch strength: 1 | finger: index | distance: 29.382624874064604
timestamp: 970 | hand: left | pinch strength: 1 | finger: index | distance: 28.791198335192643
timestamp: 980 | hand: left | pinch strength: 1 | finger: index | distance: 28.37772696042444
timestamp: 988 | hand: left | pinch strength: 1 | finger: index | distance: 28.076869500889874
timestamp: 997 | hand: left | pinch strength: 1 | finger: index | distance: 27.89136455010582
timestamp: 1007 | hand: left | pinch strength: 1 | finger: index | distance: 27.789441355718186
timestamp: 1015 | hand: left | pinch strength: 1 | finger: index | distance: 27.704487048059566
timestamp: 1024 | hand: left | pinch strength: 1 | finger: index | distance: 27.61108038250043
timestamp: 1033 | hand: left | pinch strength: 1 | finger: index | distance: 27.54597849632682
timestamp: 1042 | hand: left | pinch strength: 1 | finger: index | distance: 27.44532624693866
timestamp: 1052 | hand: left | pinch strength: 1 | finger: index | distance: 27.342577635629016
timestamp: 1061 | hand: left | pinch strength: 1 | finger: index | distance: 27.243158733320552
timestamp: 1070 | hand: left | pinch strength: 1 | finger: index | distance: 27.157330753152088
timestamp: 1079 | hand: left | pinch strength: 1 | finger: index | distance: 27.06619601278318
timestamp: 1088 | hand: left | pinch strength: 1 | finger: index | distance: 26.97459319514569
timestamp: 1097 | hand: left | pinch strength: 1 | finger: index | distance: 26.863913753353213
timestamp: 1106 | hand: left | pinch strength: 1 | finger: index | distance: 26.74395631050874
timestamp: 1115 | hand: left | pinch strength: 1 | finger: index | distance: 26.639672890786404
timestamp: 1124 | hand: left | pinch strength: 1 | finger: index | distance: 26.542339864791494
timestamp: 1133 | hand: left | pinch strength: 1 | finger: index | distance: 26.45010719604932
timestamp: 1142 | hand: left | pinch strength: 1 | finger: index | distance: 26.375513710075868
timestamp: 1151 | hand: left | pinch strength: 1 | finger: index | distance: 26.30066921874042
timestamp: 1160 | hand: left | pinch strength: 1 | finger: index | distance: 26.222894957309734
timestamp: 1169 | hand: left | pinch strength: 1 | finger: index | distance: 26.15924082843384
timestamp: 1178 | hand: left | pinch strength: 1 | finger: index | distance: 26.11323680144038
timestamp: 1187 | hand: left | pinch strength: 1 | finger: index | distance: 26.06711780504511
timestamp: 1196 | hand: left | pinch strength: 1 | finger: index | distance: 26.012818609301068
timestamp: 1205 | hand: left | pinch strength: 1 | finger: index | distance: 25.96448762325958
timestamp: 1214 | hand: left | pinch strength: 1 | finger: index | distance: 25.908987425339493
timestamp: 1223 | hand: left | pinch strength: 1 | finger: index | distance: 25.873899191132754
timestamp: 1233 | hand: left | pinch strength: 1 | finger: index | distance: 25.84207204970414
timestamp: 1241 | hand: left | pinch strength: 1 | finger: index | distance: 25.818045125175534
timestamp: 1250 | hand: left | pinch strength: 1 | finger: index | distance: 25.80306223389774
timestamp: 1259 | hand: left | pinch strength: 1 | finger: index | distance: 25.79170283558067
timestamp: 1268 | hand: left | pinch strength: 1 | finger: index | distance: 25.782163201766064
timestamp: 1277 | hand: left | pinch strength: 1 | finger: index | distance: 25.74901011702974
timestamp: 1286 | hand: left | pinch strength: 1 | finger: index | distance: 25.71684428949244
timestamp: 1297 | hand: left | pinch strength: 1 | finger: index | distance: 25.681608473185634
timestamp: 1305 | hand: left | pinch strength: 1 | finger: index | distance: 25.648653304967098
timestamp: 1314 | hand: left | pinch strength: 1 | finger: index | distance: 25.59957688016738
timestamp: 1323 | hand: left | pinch strength: 1 | finger: index | distance: 25.57252429156144
timestamp: 1332 | hand: left | pinch strength: 1 | finger: index | distance: 25.54796586697266
timestamp: 1341 | hand: left | pinch strength: 1 | finger: index | distance: 25.526740215556316
timestamp: 1350 | hand: left | pinch strength: 1 | finger: index | distance: 25.509592567936085
timestamp: 1359 | hand: left | pinch strength: 1 | finger: index | distance: 25.494796441948697
timestamp: 1367 | hand: left | pinch strength: 1 | finger: index | distance: 25.457352532531736
timestamp: 1377 | hand: left | pinch strength: 1 | finger: index | distance: 25.42213832848056
timestamp: 1386 | hand: left | pinch strength: 1 | finger: index | distance: 25.39795111894658
timestamp: 1395 | hand: left | pinch strength: 1 | finger: index | distance: 25.379052258602957
timestamp: 1404 | hand: left | pinch strength: 1 | finger: index | distance: 25.374853663451933
timestamp: 1413 | hand: left | pinch strength: 1 | finger: index | distance: 25.357561780155443
timestamp: 1422 | hand: left | pinch strength: 1 | finger: index | distance: 25.341386904171205
timestamp: 1431 | hand: left | pinch strength: 1 | finger: index | distance: 25.320274914425784
timestamp: 1440 | hand: left | pinch strength: 1 | finger: index | distance: 25.282467044574584
timestamp: 1449 | hand: left | pinch strength: 1 | finger: index | distance: 25.234572758120944
timestamp: 1458 | hand: left | pinch strength: 1 | finger: index | distance: 25.117835103766406
timestamp: 1468 | hand: left | pinch strength: 1 | finger: index | distance: 24.98998329008845
timestamp: 1476 | hand: left | pinch strength: 1 | finger: index | distance: 24.824595366146458
timestamp: 1485 | hand: left | pinch strength: 1 | finger: index | distance: 24.62669140431982
timestamp: 1494 | hand: left | pinch strength: 1 | finger: index | distance: 24.38844060370404
timestamp: 1503 | hand: left | pinch strength: 1 | finger: index | distance: 24.181995283245342
timestamp: 1512 | hand: left | pinch strength: 1 | finger: index | distance: 23.9685033685877
timestamp: 1521 | hand: left | pinch strength: 1 | finger: index | distance: 23.763145673763397
timestamp: 1530 | hand: left | pinch strength: 1 | finger: index | distance: 23.554165685551247
timestamp: 1540 | hand: left | pinch strength: 1 | finger: index | distance: 23.343573929636396
timestamp: 1549 | hand: left | pinch strength: 1 | finger: index | distance: 23.14498936150328
timestamp: 1557 | hand: left | pinch strength: 1 | finger: index | distance: 22.9687126707811
timestamp: 1567 | hand: left | pinch strength: 1 | finger: index | distance: 22.81302178433405
timestamp: 1576 | hand: left | pinch strength: 0.965994 | finger: index | distance: 22.718573062813604
timestamp: 1585 | hand: left | pinch strength: 0.91656 | finger: index | distance: 22.75131701902112
timestamp: 1593 | hand: left | pinch strength: 0.861703 | finger: index | distance: 22.942854964114648
timestamp: 1603 | hand: left | pinch strength: 0.800115 | finger: index | distance: 23.263335122034846
timestamp: 1612 | hand: left | pinch strength: 0.733114 | finger: index | distance: 23.802870264243342
timestamp: 1621 | hand: left | pinch strength: 0.659002 | finger: index | distance: 24.62203732104433
timestamp: 1630 | hand: left | pinch strength: 0.577751 | finger: index | distance: 25.783355668562617
timestamp: 1639 | hand: left | pinch strength: 0.489443 | finger: index | distance: 27.30926689719993
timestamp: 1648 | hand: left | pinch strength: 0.40076 | finger: index | distance: 29.08603021331718
timestamp: 1657 | hand: left | pinch strength: 0.308897 | finger: index | distance: 31.171595376079164
timestamp: 1666 | hand: left | pinch strength: 0.186786 | finger: index | distance: 34.490655329813606
timestamp: 1675 | hand: left | pinch strength: 0.0687877 | finger: index | distance: 38.03142106798009
timestamp: 2411 | hand: left | pinch strength: 0.041257 | finger: index | distance: 66.96640926150961
timestamp: 2419 | hand: left | pinch strength: 0.136011 | finger: index | distance: 66.06694008912474
timestamp: 2428 | hand: left | pinch strength: 0.230023 | finger: index | distance: 65.11535086636638
timestamp: 2437 | hand: left | pinch strength: 0.324924 | finger: middle | distance: 62.84238297980115
timestamp: 2446 | hand: left | pinch strength: 0.419156 | finger: middle | distance: 59.81306561488049
timestamp: 2455 | hand: left | pinch strength: 0.512772 | finger: middle | distance: 56.7474928194189
timestamp: 2464 | hand: left | pinch strength: 0.604672 | finger: middle | distance: 53.73780363068442
timestamp: 2473 | hand: left | pinch strength: 0.683661 | finger: middle | distance: 51.0508553359295
timestamp: 2483 | hand: left | pinch strength: 0.754892 | finger: middle | distance: 48.53862352858804
timestamp: 2491 | hand: left | pinch strength: 0.825528 | finger: middle | distance: 46.042913843717585
timestamp: 2501 | hand: left | pinch strength: 0.893804 | finger: middle | distance: 43.56181161200713
timestamp: 2509 | hand: left | pinch strength: 0.960885 | finger: middle | distance: 41.10469917138428
timestamp: 2518 | hand: left | pinch strength: 1 | finger: middle | distance: 38.6306721175027
timestamp: 2527 | hand: left | pinch strength: 1 | finger: middle | distance: 36.344130681412636
timestamp: 2536 | hand: left | pinch strength: 1 | finger: middle | distance: 34.17756580561143
timestamp: 2545 | hand: left | pinch strength: 1 | finger: middle | distance: 32.31816434540178
timestamp: 2555 | hand: left | pinch strength: 1 | finger: middle | distance: 30.582255870653164
timestamp: 2563 | hand: left | pinch strength: 1 | finger: middle | distance: 29.008578433154913
timestamp: 2573 | hand: left | pinch strength: 1 | finger: middle | distance: 27.532555447369933
timestamp: 2581 | hand: left | pinch strength: 1 | finger: middle | distance: 26.211657853680293
timestamp: 2591 | hand: left | pinch strength: 1 | finger: middle | distance: 25.242238559604814
timestamp: 2600 | hand: left | pinch strength: 1 | finger: middle | distance: 24.310310306337108
timestamp: 2610 | hand: left | pinch strength: 1 | finger: middle | distance: 23.34701391019631
timestamp: 2618 | hand: left | pinch strength: 1 | finger: middle | distance: 22.391096721038476
timestamp: 2628 | hand: left | pinch strength: 1 | finger: middle | distance: 21.336828778487686
timestamp: 2636 | hand: left | pinch strength: 1 | finger: middle | distance: 20.38623876643507
timestamp: 2644 | hand: left | pinch strength: 1 | finger: middle | distance: 19.608738596860327
timestamp: 2652 | hand: left | pinch strength: 1 | finger: middle | distance: 18.937752291570927
timestamp: 2662 | hand: left | pinch strength: 1 | finger: middle | distance: 18.367467668595467
timestamp: 2671 | hand: left | pinch strength: 1 | finger: middle | distance: 17.815437026705236
timestamp: 2680 | hand: left | pinch strength: 1 | finger: middle | distance: 17.449916287217544
timestamp: 2688 | hand: left | pinch strength: 1 | finger: middle | distance: 17.149207596052364
timestamp: 2697 | hand: left | pinch strength: 1 | finger: middle | distance: 16.928473155630428
timestamp: 2706 | hand: left | pinch strength: 1 | finger: middle | distance: 16.762548943704832
timestamp: 2716 | hand: left | pinch strength: 1 | finger: middle | distance: 16.682844111424767
timestamp: 2725 | hand: left | pinch strength: 1 | finger: middle | distance: 16.627368835570465
timestamp: 2734 | hand: left | pinch strength: 1 | finger: middle | distance: 16.57339642765176
timestamp: 2742 | hand: left | pinch strength: 1 | finger: middle | distance: 16.49222211913543
timestamp: 2752 | hand: left | pinch strength: 1 | finger: middle | distance: 16.383137157971298
timestamp: 2761 | hand: left | pinch strength: 1 | finger: middle | distance: 16.27340585639343
timestamp: 2770 | hand: left | pinch strength: 1 | finger: middle | distance: 16.205412527069466
timestamp: 2778 | hand: left | pinch strength: 1 | finger: middle | distance: 16.092367450266597
timestamp: 2788 | hand: left | pinch strength: 1 | finger: middle | distance: 15.979666868692847
timestamp: 2797 | hand: left | pinch strength: 1 | finger: middle | distance: 15.852837049780712
timestamp: 2807 | hand: left | pinch strength: 1 | finger: middle | distance: 15.784966612330859
timestamp: 2815 | hand: left | pinch strength: 1 | finger: middle | distance: 15.702550110144534
